city,cloudiness,humidity,lat,temp,wind_speed
Kirakira,88,100,-10.46,29.33,4.7
Alice Springs,0,14,-23.7,34.0,9.3
Matamoros,40,88,25.87,24.0,7.7
Chernyshevskiy,20,51,63.01,-13.5,5.6
Tessalit,20,28,20.2,20.4,2.1
Walla Walla,90,75,46.06,7.04,5.1
Mookane,80,95,-23.68,17.63,2.75
Alyangula,8,83,-13.85,32.68,3.65
Lata,0,57,30.78,13.08,0.75
Dandong,92,86,40.12,9.83,3.85
Ngorongoro,20,94,-3.24,11.53,1.2
Tshikapa,48,98,-6.42,21.7,1.05
Roald,32,100,62.58,-1.13,2.1
Victoria,75,79,5.28,30.01,2.1
Praya,20,74,-8.71,30.0,1.5
Fredericton,1,43,45.97,1.0,4.6
Micheweni,76,100,-4.97,25.75,4.2
Mantua,0,65,45.16,4.64,0.5
Magistralnyy,8,45,56.17,-5.3,3.3
Mocuba,0,93,-16.84,18.93,1.2
Montepuez,8,97,-13.13,20.8,1.85
Havre-Saint-Pierre,90,92,50.23,-4.0,2.6
Arawa,12,88,7.05,24.93,1.55
Novikovo,80,98,45.05,7.58,1.5
Jiangyou,0,64,31.78,21.03,1.75
Ormstown,1,48,45.13,-0.78,1.5
Lindi,64,93,-10.0,22.38,1.45
Hay River,20,72,60.82,-11.0,1.0
Nampula,0,93,-15.12,16.05,1.05
Ust-Ilimsk,0,42,57.96,-7.8,4.2
Herat,76,70,34.35,7.0,1.0
Ballina,92,100,54.11,3.8,9.15
Bloemfontein,0,100,-29.12,14.0,1.0
Gillette,1,82,44.29,3.0,5.7
Quelimane,0,93,-17.88,21.55,1.2
Batemans Bay,0,57,-35.71,26.28,0.35
Muzhi,8,61,65.4,-19.18,1.4
Butembo,32,96,0.12,14.5,0.45
Mount Gambier,92,74,-37.83,18.08,3.35
Ilo,0,92,-17.65,14.3,1.3
Lhokseumawe,48,100,5.18,27.45,2.5
Mount Isa,0,26,-20.73,35.0,5.7
Ranong,0,83,9.96,28.0,1.0
Ahipara,0,68,-35.17,22.05,3.3
Chapais,90,84,49.78,-15.0,1.0
Newnan,1,34,33.38,18.01,2.75
Rebrikha,48,90,53.08,-6.38,4.0
Mlowo,64,100,-9.01,15.95,1.1
Melita,0,55,49.27,-16.5,1.95
Bajos de Haina,75,83,18.41,24.0,2.6
Bombay,20,68,44.94,-2.73,3.1
Hudson Bay,68,69,52.86,-9.68,2.4
Chase,1,62,43.89,-4.38,2.3
Vostok,64,63,46.45,10.05,3.2
Oktyabrskoye,48,78,56.73,-6.33,2.4
Klyuchi,20,90,52.25,-6.85,4.3
Isangel,76,98,-19.55,27.63,7.5
Florence,40,77,34.8,17.59,3.6
Rudnaya Pristan,56,74,44.36,6.08,1.95
Kichmengskiy Gorodok,36,80,59.99,-7.63,2.9
Grootfontein,68,92,-19.56,14.75,1.65
Pangnirtung,88,79,66.15,-0.85,7.95
Mpanda,88,93,-6.34,16.43,3.05
Broken Hill,0,39,-31.97,26.08,6.95
Bluff,76,55,-23.58,28.93,7.95
Henties Bay,36,100,-22.12,17.0,1.85
Kieta,44,91,-6.22,29.05,4.75
Sangar,32,67,63.92,-6.25,1.95
Mafeteng,0,97,-29.82,11.75,1.3
Middleton,75,60,44.94,5.0,6.7
Chokurdakh,0,83,70.62,-14.48,2.3
Broome,88,93,52.47,4.18,3.1
Kiunga,12,74,-6.12,30.15,1.3
Nuevo Progreso,1,94,26.05,24.3,7.7
San Borja,56,97,-14.86,21.93,0.7
Geraldton,75,92,49.72,-9.0,2.6
Hohhot,0,17,40.81,19.0,2.0
Krasnoarmeysk,90,100,56.12,2.0,5.0
Bin Qirdan,88,81,33.14,12.3,2.65
Turukhansk,64,83,65.8,-16.08,6.3
San Quintin,20,58,17.54,29.0,3.1
Guaymas,5,28,27.92,27.0,3.1
Te Anau,44,66,-45.41,16.65,6.9
Colonial Heights,1,81,37.26,13.41,1.1
Varhaug,0,79,58.61,-3.0,1.5
Pitiquito,0,9,30.68,22.28,3.35
Elizabeth City,1,77,36.3,15.7,4.1
Castro,0,97,-42.48,7.7,1.75
Christchurch,88,59,-43.53,19.0,3.1
Guerrero Negro,20,92,27.97,14.28,3.7
Mason City,1,86,43.15,-3.0,1.5
Cauquenes,0,90,-35.97,11.08,1.15
Warren,1,37,42.48,1.54,2.6
Kota Kinabalu,75,66,5.98,31.0,1.5
Phalaborwa,92,99,-23.95,21.15,1.95
Gampaha,20,83,7.09,26.0,1.5
La Ronge,20,50,55.1,-14.0,2.1
Casas Grandes,100,31,30.15,19.28,1.0
Panikian,56,95,13.29,25.55,1.55
Loveland,1,77,40.4,6.05,2.6
Savannah Bight,24,95,16.45,26.5,2.2
Salalah,40,74,17.01,26.0,2.1
Coihaique,90,71,-45.58,13.0,3.1
Kulu,56,85,3.47,23.38,1.05
Pochutla,75,100,15.74,27.41,3.4
Dikson,48,82,73.51,-14.48,5.2
Sur,0,83,22.57,26.65,0.95
Kristiansund,80,100,63.12,-1.09,1.0
Kavaratti,36,100,10.57,28.78,0.75
Baruun-Urt,88,42,46.68,-4.13,5.9
Spas-Klepiki,92,93,55.13,1.8,6.8
Constantine,0,80,36.36,4.0,1.5
Villa Union,0,94,-10.79,23.88,0.9
Hobart,75,39,-42.88,18.0,7.2
Durant,90,100,33.99,2.79,5.7
Millau,0,56,44.1,7.0,3.6
Redlands,40,53,34.06,16.82,2.1
Hervey Bay,80,93,-25.3,25.4,5.35
Potam,40,25,27.6,26.06,1.15
Havelock,1,87,34.88,15.34,2.1
Ebolowa,92,96,2.92,20.63,1.1
Constitucion,40,12,23.99,22.0,7.7
Divnogorsk,75,73,55.96,-5.0,6.0
Makambako,80,96,-8.85,16.45,1.75
Yumen,12,50,40.29,9.2,5.75
Cap Malheureux,75,83,-19.98,27.0,5.1
Tuatapere,0,77,-46.13,18.45,7.45
West Odessa,68,47,31.84,16.13,8.7
Storforshei,20,75,66.4,-12.23,0.85
Copiapo,0,82,-27.37,14.0,0.85
Ballina,92,100,54.11,3.8,9.15
Horsham,8,67,-36.71,19.9,5.7
Vasilyevskiy Mokh,92,94,57.01,2.4,8.7
Synya,80,85,65.37,-9.2,1.15
Coquimbo,90,82,-29.95,14.0,1.0
Steamboat Springs,90,29,40.48,10.44,2.85
Exeter,92,98,50.73,7.78,6.45
Luwingu,88,98,-10.26,16.8,2.05
Kigali,75,100,-1.95,17.0,1.5
Mzimba,68,96,-11.9,17.15,2.05
Tyubuk,76,88,56.05,-3.35,3.3
Garissa,92,88,-0.46,23.8,1.5
Enid,1,74,36.4,-0.29,3.6
El Porvenir,75,94,15.75,24.0,1.0
Kalmunai,0,91,7.42,27.08,2.0
Tigzirt,24,69,36.57,4.18,0.85
New Plymouth,0,98,-39.06,18.15,5.0
Khilok,24,42,51.36,-6.1,3.9
Kohlu,56,80,29.9,16.15,1.7
Chake Chake,68,100,-5.25,25.0,2.75
Guymon,1,63,36.68,-0.25,3.1
Progreso,75,88,-34.68,21.0,5.1
Iralaya,68,100,15.0,23.3,2.4
Ntcheu,92,100,-14.82,17.68,1.4
Karratha,24,32,-20.74,36.4,2.1
Pangkalanbuun,20,87,-2.68,30.05,2.1
Belaya Gora,0,87,68.54,-11.95,1.85
Mapiri,8,93,-15.31,10.2,1.3
Ulaangom,0,62,49.98,-13.5,1.45
Nyrob,64,71,60.74,-10.5,1.4
Richards Bay,80,100,-28.77,20.05,1.25
Madera,1,40,36.96,23.19,2.6
Tarata,0,100,-17.47,-1.68,0.6
Havelock,1,87,34.88,15.34,2.1
Marmaris,75,77,36.85,14.61,3.6
Nizamabad,0,60,18.67,26.63,4.85
Kangaba,44,76,11.94,23.9,1.3
Agua Verde,5,31,22.89,24.0,3.1
Lasa,0,81,34.92,11.95,2.1
Sabang,88,100,13.72,25.15,1.7
Salamanca,68,85,40.97,5.03,2.2
San Antonio,90,93,-33.58,12.0,2.1
Shaunavon,48,73,49.65,-9.38,1.4
Mayumba,80,100,-3.44,25.18,5.2
Tamasane,0,92,-22.42,14.95,2.7
Warrnambool,92,86,-38.38,17.55,7.0
Hermon,92,93,51.96,6.0,7.7
Dekar,8,78,-21.53,14.38,4.35
Mtambile,68,100,-5.38,25.0,2.75
Mayor Pablo Lagerenza,64,90,-19.93,23.38,1.15
Labytnangi,8,46,66.66,-26.25,0.6
Shchors,80,94,51.82,5.4,6.35
Kampot,56,87,10.62,26.83,1.9
Poum,36,96,41.28,-0.88,0.85
Tiznit,88,99,29.7,13.4,1.2
North Platte,1,73,41.12,-4.0,4.1
Neryungri,76,55,56.66,-12.38,10.95
Cienfuegos,12,83,22.15,20.77,3.6
Tadine,88,96,-21.55,26.45,8.2
Talcahuano,0,93,-36.72,12.0,1.0
Houma,0,38,35.63,24.8,1.45
Tazovskiy,56,70,67.47,-23.33,7.15
Werda,75,94,50.44,0.0,4.1
Akcakoca,92,98,41.09,6.43,1.3
Hurricane,1,16,37.18,19.96,4.6
Villacarrillo,12,81,38.12,4.55,1.15
Ndjole,80,99,-0.18,22.45,1.1
Indiana,90,52,40.62,3.58,1.6
Jennings,92,92,-28.93,20.55,1.95
Belle Glade,1,88,26.68,22.22,2.1
Krasnyy Kholm,92,97,58.06,0.7,8.85
Taltal,0,96,-25.41,12.38,0.75
Grand Gaube,75,83,-20.01,27.0,5.1
Yulara,0,14,-25.24,34.0,7.2
Moose Factory,90,92,51.26,-8.0,5.1
Oranjestad,40,78,12.52,27.0,6.2
Chippewa Falls,1,53,44.94,-5.53,2.6
Lafayette,1,100,30.22,18.98,2.6
Aden,0,98,12.79,26.28,4.2
Tocopilla,8,100,-22.09,15.2,0.6
Galveston,90,100,40.58,-1.71,2.1
Millinocket,90,50,45.66,-2.22,3.1
Alamos,0,68,-36.9,14.63,3.0
Omboue,92,100,-1.57,25.45,2.85
Bintulu,75,89,3.17,29.0,1.5
Muros,90,100,42.77,9.0,5.1
Port-Gentil,92,100,-0.72,25.63,2.7
Valdivia,0,100,-39.81,8.0,2.4
Vallenar,0,80,-28.58,12.08,0.85
Petauke,24,95,-14.25,17.83,3.65
Pahrump,1,14,36.21,24.93,3.1
Algodones,40,19,35.38,12.39,3.6
Portree,56,100,57.41,2.2,6.1
San Juan,92,97,-31.54,14.18,2.4
Frontera,5,78,18.53,25.0,5.35
Murdochville,24,72,48.96,-4.45,10.8
Chama,36,93,-11.22,18.58,1.85
Mahebourg,75,83,-20.41,27.0,5.1
Inongo,76,100,-1.93,22.28,1.4
Nelson Bay,80,42,-32.72,30.0,5.7
Zhigansk,24,69,66.77,-7.33,2.5
Ajra,64,61,16.12,23.28,1.65
Kutum,0,18,14.2,14.3,4.35
Axim,20,100,4.87,27.38,4.95
Rio Gallegos,75,87,-51.62,10.0,4.6
Comodoro Rivadavia,0,48,-45.87,19.0,1.5
Kabalo,12,96,-6.05,21.55,1.3
